organism_key,taxon,code
NBNORG0000072847,Rhopalum gracile,mature,3
NBNORG0000072851,Rophites quinquespinosus,mature,5
NBNORG0000072853,Sapyga quinquepunctata,mature,1
NBNORG0000043301,Smicromyrme rufipes,mature,3
NBNORG0000011301,Sphecodes crassus,mature,4
NBNORG0000072864,Sphecodes ephippius,mature,3
NBNORG0000072865,Sphecodes ferruginatus,mature,4
NBNORG0000043315,Sphecodes geoffrellus,mature,3
NBNORG0000072866,Sphecodes gibbus,mature,3
NBNORG0000072867,Sphecodes hyalinatus,mature,3
NBNORG0000072868,Sphecodes longulus,mature,3
NBNORG0000011302,Sphecodes miniatus,mature,4
NBNORG0000072870,Sphecodes monilicornis,mature,3
NBNORG0000072871,Sphecodes niger,mature,3
NBNORG0000072872,Sphecodes pellucidus,mature,3
NBNORG0000072873,Sphecodes puncticeps,mature,3
NBNORG0000072874,Sphecodes reticulatus,mature,3
NBNORG0000011303,Sphecodes rubicundus,mature,3
NBNORG0000072875,Sphecodes scabricollis,mature,3
NBNORG0000072876,Sphecodes spinulosus,mature,3
NBNORG0000072880,Spilomena beata,mature,4
NBNORG0000043317,Spilomena curruca,mature,4
NBNORG0000072881,Spilomena enslini,mature,4
NBNORG0000072882,Spilomena troglodytes,mature,4
NBNORG0000072884,Stelis breviuscula,mature,3
NBNORG0000072885,Stelis ornatula,mature,3
NBNORG0000072886,Stelis phaeoptera,mature,3
NBNORG0000072887,Stelis punctulatissima,mature,3
NBNORG0000043327,Stenamma debile,mature,4
NBNORG0000072020,Stenamma westwoodii,mature,4
NBNORG0000072890,Stigmus pendulus,mature,3
NBNORG0000072891,Stigmus solskyi,mature,3
NBNORG0000072893,Strongylognathus testaceus,mature,4
NBNORG0000043365,Symmorphus bifasciatus,mature,3
NBNORG0000072895,Symmorphus connexus,mature,4
NBNORG0000072896,Symmorphus crassicornis,mature,3
NBNORG0000072897,Symmorphus gracilis,mature,3
NBNORG0000072899,Tachysphex nitidus,mature,5
NBNORG0000072901,Tachysphex pompiliformis,mature,3
NBNORG0000072022,Tachysphex unicolor,mature,5
NBNORG0000072023,Tachysphex unicolor sensu lato,mature,6
NBNORG0000072904,Tapinoma erraticum,mature,5
NBNORG0000106730,Tapinoma erraticum sensu lato,mature,6
NBNORG0000072905,Tapinoma melanocephalum,mature,4
NBNORG0000043428,Tapinoma subboreale,mature,5
NBNORG0000072907,Temnothorax albipennis,mature,4
NBNORG0000072908,Temnothorax interruptus,mature,4
NBNORG0000072909,Temnothorax nylanderi,mature,3
NBNORG0000072912,Tetramorium bicarinatum,mature,4
NBNORG0000072913,Tetramorium caespitum,mature,3
NBNORG0000106732,Tetramorium caldarium,mature,4
NBNORG0000072914,Tetramorium simillimum,mature,4
NBNORG0000072916,Tiphia femorata,mature,3
NBNORG0000072917,Tiphia minuta,mature,3
NBNORG0000072920,Trichrysis cyanea,mature,2
NBNORG0000072922,Trypoxylon attenuatum,mature,3
NBNORG0000072923,Trypoxylon clavicerum,mature,3
NBNORG0000072024,Trypoxylon figulus,mature,4
NBNORG0000072025,Trypoxylon figulus sensu lato,mature,6
NBNORG0000072924,Trypoxylon medium,mature,4
NBNORG0000072925,Trypoxylon minus,mature,4
NBNORG0000072927,Vespa crabro,mature,1
NBNORG0000072936,Vespula austriaca,mature,3
NBNORG0000072933,Vespula germanica,mature,2
NBNORG0000072937,Vespula rufa,mature,2
NBNORG0000072934,Vespula vulgaris,mature,2
NBNORG0000072940,Xylocopa violacea,mature,3
