tvk,code,allow_org_key,rtvk,organism_key,taxon
NHMSYS0000876319,1,allow,NHMSYS0000876319,NBNORG0000072648,Mellinus crabroneus
NHMSYS0000876326,1,allow,NHMSYS0000876326,NBNORG0000072650,Methocha articulata
NHMSYS0000876330,1,allow,NHMSYS0000876330,NBNORG0000072653,Microdynerus exilis
NHMSYS0000876333,1,allow,NHMSYS0000876333,NBNORG0000072655,Mimesa bicolor
NHMSYS0000876334,1,allow,NHMSYS0000876334,NBNORG0000072656,Mimesa bruxellensis
NHMSYS0000876339,1,allow,NHMSYS0000876339,NBNORG0000072659,Mimumesa atratina
NHMSYS0000876342,1,allow,NHMSYS0000876342,NBNORG0000072660,Mimumesa littoralis
NHMSYS0000876343,1,allow,NHMSYS0000876343,NBNORG0000072661,Mimumesa unicolor
NHMSYS0000876345,1,,NHMSYS0000876345,NBNORG0000072663,Miscophus ater
NHMSYS0000876346,1,allow,NHMSYS0000876346,NBNORG0000072664,Miscophus bicolor
NHMSYS0000876352,1,allow,NHMSYS0000876352,NBNORG0000072668,Monosapyga clavicornis
NHMSYS0000876354,1,allow,NHMSYS0000876354,NBNORG0000072670,Mutilla europaea
NHMSYS0000876362,1,allow,NHMSYS0000876362,NBNORG0000072675,Myrmica hirsuta
NHMSYS0000876363,1,allow,NHMSYS0000876363,NBNORG0000072676,Myrmica karavajevi
NHMSYS0000876365,1,allow,NHMSYS0000876365,NBNORG0000072677,Myrmica lobicornis
NHMSYS0000876375,1,allow,NHMSYS0000876375,NBNORG0000072681,Myrmica schencki
NHMSYS0000876376,1,allow,NHMSYS0000876376,NBNORG0000072682,Myrmica specioides
NHMSYS0000876379,1,allow,NHMSYS0000876379,NBNORG0000072684,Myrmica vandeli
NHMSYS0000876393,1,allow,NHMSYS0000876393,NBNORG0000072694,Nitela borealis
NHMSYS0000876394,1,,NHMSYS0000876394,NBNORG0000072695,Nitela lucens
NHMSYS0000876400,1,allow,NHMSYS0000876400,NBNORG0000072697,Nomada argentata
NHMSYS0000876401,1,,NHMSYS0000876401,NBNORG0000072698,Nomada armata
NHMSYS0000876403,1,allow,NHMSYS0000876403,NBNORG0000072699,Nomada baccata
NHMSYS0000876410,1,allow,NHMSYS0000876410,NBNORG0000072700,Nomada conjungens
NHMSYS0000876414,1,,NHMSYS0000876414,NBNORG0000072701,Nomada errans
NHMSYS0000876418,1,allow,NHMSYS0000876418,NBNORG0000072703,Nomada ferruginata
NHMSYS0000876428,1,allow,NHMSYS0000876428,NBNORG0000072711,Nomada guttulata
NHMSYS0000876430,1,allow,NHMSYS0000876430,NBNORG0000072712,Nomada hirtipes
NHMSYS0000876432,1,allow,NHMSYS0000876432,NBNORG0000072713,Nomada integra
NHMSYS0000876440,1,allow,NHMSYS0000876440,NBNORG0000072717,Nomada obtusifrons
NHMSYS0000876454,1,allow,NHMSYS0000876454,NBNORG0000072721,Nomada sexfasciata
NHMSYS0000876455,1,allow,NHMSYS0000876455,NBNORG0000072722,Nomada sheppardana
NHMSYS0000876456,1,allow,NHMSYS0000876456,NBNORG0000072723,Nomada signata
NHMSYS0000876470,1,allow,NHMSYS0000876470,NBNORG0000072729,Nysson interruptus
NHMSYS0000876481,1,allow,NHMSYS0000876481,NBNORG0000072735,Odynerus melanocephalus
NHMSYS0000876482,1,allow,NHMSYS0000876482,NBNORG0000072738,Odynerus reniformis
NHMSYS0000876483,1,allow,NHMSYS0000876483,NBNORG0000072739,Odynerus simillimus
