tvk,start_day,start_month,end_day,end_month,stage,allow_org_key,rtvk,organism_key,taxon
NHMSYS0000875648,1,5,30,9,mature,allow,NHMSYS0000875648,NBNORG0000072289,Chelostoma campanularum
NHMSYS0000875649,1,5,31,8,mature,allow,NHMSYS0000875649,NBNORG0000072290,Chelostoma florisomne
NHMSYS0000875654,1,1,31,10,mature,allow,NHMSYS0000875654,NBNORG0000072293,Chrysis angustula
NHMSYS0000875658,1,5,31,8,mature,,NHMSYS0000875658,NBNORG0000072295,Chrysis fulgida
NHMSYS0000875659,1,5,30,9,mature,allow,NHMSYS0000875659,NBNORG0000072296,Chrysis gracillima
NHMSYS0000875662,1,4,30,9,mature,allow,NHMSYS0000875662,NBNORG0000072298,Chrysis illigeri
NHMSYS0000875663,1,4,30,9,mature,allow,NHMSYS0000875663,NBNORG0000072299,Chrysis impressa
NHMSYS0000875664,1,5,30,6,mature,allow,NHMSYS0000875664,NBNORG0000072300,Chrysis longula
NHMSYS0000875665,1,3,30,9,mature,allow,NHMSYS0000875665,NBNORG0000072301,Chrysis mediata
NHMSYS0000875667,1,6,30,6,mature,allow,NHMSYS0000875667,NBNORG0000072302,Chrysis pseudobrevitarsis
NHMSYS0000875668,1,5,30,9,mature,allow,NHMSYS0000875668,NBNORG0000072303,Chrysis ruddii
NHMSYS0000875669,1,4,30,9,mature,allow,NHMSYS0021231943,NBNORG0000072304,Chrysis vanlithi
NHMSYS0000875670,1,4,31,8,mature,allow,NHMSYS0000875670,NBNORG0000072305,Chrysis schencki
NHMSYS0000875674,1,4,30,9,mature,allow,NHMSYS0000875674,NBNORG0000072306,Chrysis viridula
NHMSYS0000875676,1,5,31,7,mature,allow,NHMSYS0000875676,NBNORG0000072308,Chrysura hirsuta
NHMSYS0000875679,1,4,30,9,mature,allow,NHMSYS0000875679,NBNORG0000072309,Chrysura radians
NHMSYS0000875681,1,5,31,8,mature,allow,NHMSYS0000875681,NBNORG0000072311,Cleptes nitidulus
NHMSYS0000875683,1,5,30,9,mature,allow,NHMSYS0000875683,NBNORG0000072312,Cleptes semiauratus
NHMSYS0000875690,1,5,31,8,mature,allow,NBNSYS0000144805,NBNORG0000072319,Coelioxys conoidea
NHMSYS0000875700,1,5,30,9,mature,allow,NHMSYS0000875700,NBNORG0000072320,Coelioxys elongata
NHMSYS0000875701,1,5,30,9,mature,allow,NHMSYS0000875701,NBNORG0000072321,Coelioxys inermis
NHMSYS0000875702,1,5,31,8,mature,allow,NHMSYS0000875702,NBNORG0000072322,Coelioxys mandibularis
NHMSYS0000875703,1,6,30,9,mature,allow,NHMSYS0000875703,NBNORG0000072323,Coelioxys quadridentata
NHMSYS0000875704,1,5,31,12,mature,allow,NHMSYS0000875704,NBNORG0000072324,Coelioxys rufescens
NHMSYS0000875723,1,4,31,10,mature,allow,NHMSYS0000875723,NBNORG0000072328,Colletes daviesanus
NHMSYS0000875724,1,6,31,8,mature,allow,NHMSYS0000875724,NBNORG0000072329,Colletes floralis
NHMSYS0000875725,1,5,30,9,mature,allow,NHMSYS0000875725,NBNORG0000072330,Colletes fodiens
NHMSYS0000875726,1,7,31,10,mature,allow,NHMSYS0000875726,NBNORG0000072331,Colletes halophilus
NBNSYS0100002538,1,4,30,11,mature,allow,NBNSYS0100002538,NBNORG0000072332,Colletes hederae
NHMSYS0000875727,1,6,31,8,mature,allow,NHMSYS0000875727,NBNORG0000072333,Colletes marginatus
NHMSYS0000875730,1,5,31,10,mature,allow,NHMSYS0000875730,NBNORG0000072334,Colletes similis
NHMSYS0000875731,1,1,31,10,mature,allow,NHMSYS0000875731,NBNORG0000072335,Colletes succinctus
NHMSYS0000875722,1,3,30,6,mature,allow,NHMSYS0000875722,NBNORG0000072337,Colletes cunicularius
NHMSYS0000875733,1,5,30,9,mature,allow,NHMSYS0000875733,NBNORG0000072340,Crabro cribrarius
NHMSYS0000875734,1,5,30,9,mature,allow,NHMSYS0000875734,NBNORG0000072341,Crabro peltarius
NHMSYS0000875735,1,6,30,9,mature,allow,NHMSYS0000875735,NBNORG0000072342,Crabro scutellatus
NHMSYS0000875739,1,4,30,4,mature,allow,NHMSYS0000875739,NBNORG0000072346,Crematogaster scutellaris
NHMSYS0000875782,1,6,30,9,mature,allow,NHMSYS0000875782,NBNORG0000072349,Crossocerus congener
NHMSYS0000875798,1,5,31,12,mature,allow,NHMSYS0000875798,NBNORG0000072350,Crossocerus podagricus
NHMSYS0000875806,1,5,31,8,mature,allow,NHMSYS0000875806,NBNORG0000072352,Crossocerus vagabundus
NHMSYS0000875774,1,1,31,10,mature,allow,NHMSYS0000875774,NBNORG0000072354,Crossocerus annulipes
NHMSYS0000875778,1,3,30,9,mature,allow,NHMSYS0000875778,NBNORG0000072355,Crossocerus capitosus
NHMSYS0000875780,1,5,30,9,mature,allow,NHMSYS0000875780,NBNORG0000072356,Crossocerus cetratus
NHMSYS0000875791,1,5,31,8,mature,allow,NHMSYS0000875791,NBNORG0000072357,Crossocerus leucostomus
NHMSYS0000875792,1,1,31,10,mature,allow,NHMSYS0000875792,NBNORG0000072358,Crossocerus megacephalus
NHMSYS0000875793,1,4,30,9,mature,allow,NHMSYS0000875793,NBNORG0000072359,Crossocerus nigritus
NHMSYS0000875804,1,5,31,10,mature,allow,NHMSYS0000875804,NBNORG0000072360,Crossocerus styrius
NHMSYS0000875810,1,5,30,9,mature,allow,NHMSYS0000875810,NBNORG0000072361,Crossocerus walkeri
NHMSYS0000875784,1,4,30,9,mature,allow,NHMSYS0000875784,NBNORG0000072363,Crossocerus distinguendus
NHMSYS0000875785,1,3,31,10,mature,allow,NHMSYS0000875785,NBNORG0000072364,Crossocerus elongatulus
NHMSYS0000875786,1,6,30,9,mature,allow,NHMSYS0000875786,NBNORG0000072367,Crossocerus exiguus
NHMSYS0000875794,1,4,30,9,mature,allow,NHMSYS0000875794,NBNORG0000072368,Crossocerus ovalis
NHMSYS0000875797,1,6,31,10,mature,allow,NHMSYS0000875797,NBNORG0000072369,Crossocerus palmipes
NHMSYS0000875811,1,5,31,10,mature,allow,NHMSYS0000875811,NBNORG0000072374,Crossocerus wesmaeli
NHMSYS0000875777,1,5,31,10,mature,allow,NHMSYS0000875777,NBNORG0000072376,Crossocerus binotatus
NHMSYS0000875783,1,5,30,11,mature,allow,NHMSYS0000875783,NBNORG0000072377,Crossocerus dimidiatus
NHMSYS0000875801,1,5,31,10,mature,allow,NHMSYS0000875801,NBNORG0000072379,Crossocerus quadrimaculatus
NHMSYS0000875815,1,5,30,9,mature,allow,NBNSYS0000009400,NBNORG0000072382,Cryptocheilus notatus
NHMSYS0000875818,1,5,30,9,mature,allow,NHMSYS0000875818,NBNORG0000072384,Dasypoda hirtipes
NHMSYS0000875825,1,7,31,7,mature,allow,NHMSYS0000875825,NBNORG0000072387,Dinetus pictus
NHMSYS0000875828,1,5,31,10,mature,allow,NHMSYS0000875828,NBNORG0000072389,Diodontus insidiosus
NHMSYS0000875829,1,5,31,10,mature,allow,NHMSYS0000875829,NBNORG0000072390,Diodontus luperus
NHMSYS0000875830,1,5,31,10,mature,allow,NHMSYS0000875830,NBNORG0000072391,Diodontus minutus
NHMSYS0000875831,1,5,31,10,mature,allow,NHMSYS0000875831,NBNORG0000072392,Diodontus tristis
NBNSYS0000009395,1,5,30,9,mature,allow,NBNSYS0000009395,NBNORG0000072395,Dipogon bifasciatus
